|cible|prediction|Signal achat
2023-07-18|4534.87|4574.756959999995|True
2023-07-19|4536.34|4563.96604|True
2023-07-20|4554.64|4541.0845199999985|True
2023-07-21|4567.46|4542.452520000003|False
2023-07-24|4566.75|4553.241239999998|False
2023-07-25|4537.41|4557.85152|False
2023-07-26|4582.23|4545.814360000001|True
2023-07-27|4588.96|4553.777879999995|False
2023-07-28|4576.73|4559.853319999999|False
2023-07-31|4513.39|4566.908759999995|False
2023-08-01|4501.89|4556.748239999996|True
2023-08-02|4478.03|4500.688720000001|False
2023-08-03|4518.44|4461.462840000005|False
2023-08-04|4499.38|4456.81659999999|False
2023-08-07|4467.71|4513.688119999998|True
2023-08-08|4468.83|4475.543039999992|True
2023-08-09|4464.05|4461.756479999994|False
2023-08-10|4489.72|4462.670120000001|False
2023-08-11|4437.86|4424.828639999997|False
2023-08-14|4404.33|4469.588439999989|True
2023-08-15|4370.36|4408.126839999997|True
2023-08-16|4369.71|4386.999959999995|True
2023-08-17|4399.77|4373.232919999995|True
2023-08-18|4387.55|4390.202800000001|False
2023-08-21|4436.01|4392.105879999999|True
2023-08-22|4376.31|4385.853480000006|False
2023-08-23|4405.71|4413.842199999997|True
2023-08-24|4433.31|4374.864880000006|False
2023-08-25|4497.63|4411.963880000004|False
2023-08-28|4514.87|4441.061919999996|False
2023-08-29|4507.66|4487.376680000003|False
2023-08-30|4515.77|4529.09548|True
2023-08-31|4496.83|4529.564760000003|True
2023-09-01|4465.48|4518.447000000001|True
2023-09-05|4451.14|4492.839799999998|True
2023-09-06|4457.49|4435.540559999995|False
2023-09-07|4487.46|4436.0207199999995|False
2023-09-08|4461.9|4461.221359999993|False
2023-09-11|4467.44|4470.244720000001|True
2023-09-12|4505.1|4456.125879999998|False
2023-09-13|4450.32|4469.643079999994|False
2023-09-14|4453.53|4482.614119999992|True
2023-09-15|4443.95|4457.5169199999955|True
2023-09-18|4402.2|4454.099399999992|True
2023-09-19|4330.0|4433.759279999988|True
2023-09-20|4320.06|4405.569559999997|True
2023-09-21|4337.44|4356.285240000004|True
2023-09-22|4273.53|4369.7657999999965|True
2023-09-25|4274.51|4346.66268|True
2023-09-26|4299.7|4295.6466|True
2023-09-27|4288.05|4291.120239999997|False
2023-09-28|4288.39|4303.351840000001|True
2023-09-29|4229.45|4292.123800000005|True
2023-10-02|4263.75|4291.653159999998|True
2023-10-03|4258.19|4270.564839999996|True
2023-10-04|4308.5|4257.982879999995|False
2023-10-05|4335.66|4265.265679999996|False
2023-10-06|4358.24|4305.906720000001|False
2023-10-09|4376.95|4354.793880000001|False
2023-10-10|4349.61|4395.083239999999|True
2023-10-11|4327.78|4392.0939199999975|True
2023-10-12|4373.63|4367.818840000002|True
2023-10-13|4373.2|4358.781240000002|False
2023-10-16|4314.6|4381.791200000003|True
2023-10-17|4278.0|4373.326919999999|True
2023-10-18|4224.16|4342.088079999995|True
2023-10-19|4217.04|4279.215439999994|True
2023-10-20|4247.68|4260.691439999998|True
2023-10-23|4186.77|4256.702840000004|True
2023-10-24|4137.23|4249.686240000005|True
2023-10-25|4117.37|4198.620440000001|True
2023-10-26|4166.82|4144.763359999999|True
2023-10-27|4193.8|4124.467879999995|False
2023-10-30|4237.86|4158.452279999996|False
2023-10-31|4317.78|4186.831799999995|False
2023-11-01|4358.34|4248.737440000002|False
2023-11-02|4365.98|4332.3658799999985|False
2023-11-03|4378.38|4356.927559999998|False
2023-11-06|4382.78|4367.330039999999|False
2023-11-07|4347.35|4365.212040000004|False
2023-11-08|4415.24|4354.317119999998|True
2023-11-09|4411.55|4364.973879999999|False
2023-11-10|4495.7|4445.518319999997|True
2023-11-13|4502.88|4437.876679999994|False
2023-11-14|4508.24|4509.281239999997|True
2023-11-15|4514.02|4510.037279999999|True
2023-11-16|4547.38|4508.364440000002|False
2023-11-17|4538.19|4534.131360000001|False
2023-11-20|4556.62|4546.694959999994|True
2023-11-21|4559.34|4552.936679999996|False
2023-11-22|4550.43|4554.968120000001|False
2023-11-24|4554.89|4561.9295600000005|True
2023-11-27|4550.58|4559.529959999998|True
2023-11-28|4567.8|4556.704079999999|True
2023-11-29|4594.63|4559.978520000002|False
2023-11-30|4569.78|4562.046040000001|False
2023-12-01|4567.18|4573.590480000002|True
2023-12-04|4549.34|4546.464399999996|False
2023-12-05|4585.59|4551.06724|True
2023-12-06|4604.37|4555.865159999998|False
2023-12-07|4622.44|4567.380480000004|False
2023-12-08|4643.7|4589.645879999999|False
2023-12-11|4707.09|4607.296479999991|False
2023-12-12|4719.55|4647.544399999989|False
2023-12-13|4719.19|4662.052520000001|False
2023-12-14|4740.56|4669.757919999994|False
2023-12-15|4768.37|4701.74848|False
2023-12-18|4698.35|4727.231200000007|False
2023-12-19|4746.75|4713.408960000002|True
2023-12-20|4754.63|4696.383399999998|False
2023-12-21|4774.75|4730.5226|False
2023-12-22|4781.58|4763.858920000002|False
2023-12-26|4783.35|4769.336559999999|False
2023-12-27|4769.83|4778.057239999999|False
2023-12-28|4742.83|4778.233840000004|True
2023-12-29|4704.81|4761.247680000003|True
2024-01-02|4688.68|4707.994000000002|True
2024-01-03|4697.24|4693.7688|True
2024-01-04|4763.54|4697.162719999997|False
2024-01-05|4756.5|4683.320280000003|False
2024-01-08|4783.45|4704.8428|False
2024-01-09|4780.24|4739.549039999996|False
2024-01-10|4783.83|4755.165159999993|False
2024-01-11|4765.98|4757.543919999997|False
2024-01-12|4739.21|4758.962199999995|False
2024-01-16|4780.94|4748.307799999994|True
2024-01-17|4839.81|4737.5465999999915|False
2024-01-18|4850.43|4768.502559999996|False
2024-01-19|4864.6|4786.509240000002|False
2024-01-22|4868.55|4778.274560000009|False
2024-01-23|4894.16|4811.750280000011|False
2024-01-24|4890.97|4853.056920000006|False
2024-01-25|4927.93|4876.502679999992|False
2024-01-26|4924.97|4895.287240000003|False
2024-01-29|4845.65|4914.797759999992|False
2024-01-30|4906.19|4894.653999999995|True
2024-01-31|4958.61|4875.149519999995|False
2024-02-01|4942.81|4906.549959999992|False
2024-02-02|4954.23|4924.347800000002|False
2024-02-05|4995.06|4931.748239999997|False
2024-02-06|4997.91|4960.066600000008|False
2024-02-07|5026.61|4974.146880000007|False
2024-02-08|5021.84|4999.532400000005|False
2024-02-09|4953.17|5008.865880000007|False
2024-02-12|5000.62|4986.775040000005|True
2024-02-13|5029.73|4988.929800000008|False
2024-02-14|5005.57|4989.277960000009|False
2024-02-15|4975.51|5008.835879999994|True
2024-02-16|4981.8|5001.989159999999|True
2024-02-20|5087.03|4983.471320000003|True
2024-02-21|5088.8|5040.938760000014|False
2024-02-22|5069.53|5005.72644000001|False
2024-02-23|5078.18|5023.121800000014|False
2024-02-26|5069.76|5045.118600000015|False
2024-02-27|5096.27|5057.060560000008|False
2024-02-28|5137.08|5063.20472000001|False
2024-02-29|5130.95|5097.457840000007|False
2024-03-01|5078.65|5101.141799999994|False
2024-03-04|5104.76|5086.634559999996|True
2024-03-05|5157.36|5096.626520000006|False
2024-03-06|5123.69|5114.049760000007|False
2024-03-07|5117.94|5110.282919999995|False
